"id","profileName","text","date","title","rating","images","helpful"
"ROM2YHQQPLV83","Nag","Really interesting book, it will teach us many things, moreover we never feel bored after completing 30 percent of story.","Reviewed in India on 8 October 2022","Great book for beginners",4,"",1
"R1N1CLJMIXLN69","Kumar","Nothing","Reviewed in India on 13 October 2022","Great",4,"",0
"R3SOKNFBV1F610","Kindle Customer","""The Alchemist "" is a book for ones who love books of adventure and fantasy. This book was thrilling enough to keep you engaged with a tinge of fantasy. This book was so big and would take days long to be completed. You should be patient enough to read and understand the story. Cheers!!!","Reviewed in India on 20 September 2022","A thrilling story with proper ups and downs",4,"","5"
"RRCKVERQM8L3Y","Jagjit singh","Nice wording .. ambiguous...","Reviewed in India on 25 September 2022","No Doubt... Very popular ...but uper se nikal gyi",4,"https://m.media-amazon.com/images/I/61mBUBL4jIL.jpg",1
"RH31ISWIRSICF","Rohitha","Good book to have of you Are a beginner","Reviewed in India on 23 September 2022","Good book",4,"https://m.media-amazon.com/images/I/710uepjf+1L.jpg",1
"R3CY5FYOEKR9X1","Mayank verma","Loved it, the story was amazing and something that you can learn from. There are so many lessons one man can learn and apply those lessons in his/her life.","Reviewed in India on 14 October 2022","Great Book",5,"",1
"R37R7CUU8GK3LY","Shiv","Everyone has dreamed of something atleast once in their life, some realize their dreams sooner and some later. But at a certain point of life we abandoned those dreams. Reasons?? We were not trying enough? We were doing our best but still no results? The responsibilities and the people that are holding us back. ""When you want something the whole universe conspires in helping you to achieve it"" quite amusing isn't it? But there are times when everything goes wrong ""When the world shoves you around, you just gotta stand up and shove back. It's not like somebody's gonna save you if you start babbling excuses."" Life is sure great if you have the dreams to chase. Loved the book, go follow your dream try as hard as you can and in the end you will have no regrets.","Reviewed in India on 8 August 2022","A fable about following your dream",4,"","14"
"R2W343VW0EQBXY","Karan","book is in good condition…the story is just mind blowing..once you start reading you left when you finish…go for it..👌🏻👌🏻","Reviewed in India on 12 October 2022","mindblowing…",5,"",0
"R7NT9V7G4PA8L","Vallabha Sayar","I received a very high quality product. The cover and hard bind were intact and it looks very fat for a 230 odd page book so the quality of pages is impeccable. It's also a very cute and adorable size, given I have tiny hands.Now the content: The original book has been translated into English and though it doesn't seem like a natural translation, the words do strike the right chords in one's heart.It speaks of philosophical principles such as the universe conspiring to get you what you strongly desire and about understanding the language of the world, which is love. At the surface they might seem well, superficial but everything around us is continuously emitting its own energy and when you're able to read it's wavelength, you really ""understand"" phenomenon around you. The author calls these as omens. Like the camels and the men of desert that speak the language of the desert. It's really a simple and beautiful concept. A nomad in the desert has been observing the desert for eternities and can make predictions about the whereabouts of water the weather at night, etc. In the same way a sailor who sees endless stretches of water every day knows things about the tides, the sun, the rains, the winds and the clouds. This is what the author means by ""communicating with the sun, the clouds, the wind"".The other is about the universal language: love which is also a beautiful concept where two individuals in love seem to ""vibe"" and just get each other. When you're oscillating at similar wavelengths you're more likely to absorb each other's energies.So, long story short, this is a beautiful read that'll put your mind at ease with every page you flip. It's also a book about hope and finding the real treasure. Real treasure is not a lot of gold like the protagonist sets out to search for but your own spiritual self that needs nurturing. And once you get there, you are the Alchemist, everything you touch turns into gold.","Reviewed in India on 18 August 2022","Words that are capable of slowing down your heartbeat",5,"","12"
"RMJLUTMTHSNSX","Sahil Malita","A lovely and perfect book to conquer and learn the ethics of your life !!!","Reviewed in India on 13 October 2022","One of the best story type moral book , I have ever read !!! Quintessential without any doubt 💯",5,"",0
"R2EPWFWR29MPUW","Abinaya","The quality of the pages are moderate.","Reviewed in India on 8 September 2022","Review",4,"https://m.media-amazon.com/images/I/61WABOa1fEL.jpg",0
"R1CA5VWTDQYI3X","NASA✨","I felt so good reading this book.. it's like , you finding your own treasure ❤️ it's a book worth reading..  I'm happy with this..😄","Reviewed in India on 2 October 2022","A book i dreamt of having in my shelf 💜❤️",5,"https://m.media-amazon.com/images/I/41x24r66DFL.jpg",0
"R10BCV01Q8ZWAB","Pradeep Chaudhary","surely everyone might have encountered some kind of omens sometime somewhere in their lives","Reviewed in India on 11 October 2022","good short story telling and will sometimes definitely gives goosebumps",5,"",0
"R32PIL07E4MYJW","Bhushan","A genuine Copy...Ordered For Rs 175...Got withing 5-6 days...Page Quality is Superb...A worth Buy...","Reviewed in India on 4 October 2022","Fantastic Purchase ..",5,"",0
"R3DF8ZXBA2JQFF","Harisha R","If you want to read a inspirational story with little patience go head. FINAL MESSAGE IS AWESOME","Reviewed in India on 3 September 2022","Good simple story but tittle lag",4,"",1
"R2ZRP1O7O5GU0Y","Shreya aiya","I have heard many nice things about this book. And after reading it I know why. The book gives many idea about life, goals and determination. So well written.","Reviewed in India on 27 September 2022","Awesome book",5,"",0
"RM1IAS7AERCNA","Georgikha","Love this product. Buy this if you're are a hardcover lover. The printing is amazing.Like said it is a pocket edition so it will be in pocket size(handy). Everyone must read this book once in a lifetime.","Reviewed in India on 23 September 2022","Hardcover 🥰",5,"",0
"R3KTE16O0GK08O","Sayantan Pathak","Buy this book for yourself or gift someone, your life will be changed as it opens many logical gates for your thinking. What is a journey, and how can a man achieves the ultimate power of knowledge and experience, this book can be beneficial for the character building of your child, or for young adults.","Reviewed in India on 11 September 2022","A Character Building Book",5,"https://m.media-amazon.com/images/I/71IKvGTB5HL.jpg
https://m.media-amazon.com/images/I/71KIKKB6iUL.jpg",1
"R3MK522FN10I1E","rakesh kumar","Must read bookYou need to try","Reviewed in India on 28 September 2022","Good to quality",5,"https://m.media-amazon.com/images/I/61T+WIIAEeL.jpg
https://m.media-amazon.com/images/I/71JpwLjsExL.jpg
https://m.media-amazon.com/images/I/71Ke7nunJpL.jpg",0
"R2JLNQD6V708I8","Sijilesh.M","Good product. i bought it for my niece aged 10. she loved this book.","Reviewed in India on 24 August 2022","Good Product",4,"",1
"R14MPI7KBBPGZ2","K Sai thanush Reddy","Quality of a book is good , the content was nice , it is effort able to buy","Reviewed in India on 20 August 2022","Best book for gift for a adult ☺️",4,"",1
"RFXY856EA1ZGZ","vidhi parihar","A book one must buy, very imperative book, i love it....","Reviewed in India on 25 September 2022","Awesome book",5,"",0
"RJC5J0L9R1SCO","Zauhar rizvee","Suggested by someone and I really liked it. It's a journey about life you can relate to it. Jhjjjhuib bhjjb","Reviewed in India on 12 September 2022","Good to read",5,"",0
"RBHIK47DZOZ54","Amazon Customer","One of good book. one should read this book.","Reviewed in India on 21 September 2022","Great book",5,"",0
"R1ZSER5HE2LF7B","Manvanth Krishna","Short. Apt to the point","Reviewed in India on 18 September 2022","Could be life changing if you follow the principles",5,"https://m.media-amazon.com/images/I/61HgC7uTp8L.jpg",0
"R2FBHL7R0JSE0U","karthic","Persistence with a Pure Heart is all what is needed to reach our goal and be Happy with the Treasure you find within yourself.","Reviewed in India on 9 September 2022","Never give up on your goals",5,"",0
"RM32IQAD9BC0N","mubarik khan","Very impressive and motivational book I have ever read. Go for it if you are looking for a motivational books","Reviewed in India on 10 September 2022","Interesting and motivational book",5,"",0
"RNO785F8D2WAW","HARSHAL MAKWANA","I like this book and quality of book is good.","Reviewed in India on 18 September 2022","Nice book",5,"",0
"R11N1SCBHDY4UT","Sanket","If someone ask me about this book so i would say like this book make me realize my goal or dream or desire. Ont only made me realize but also show me the path to continue your journey to get your goal or to achieve your goal. Moreover this book also taught me like how to think and behave in your bad time. And last but not the least is, i have always been remebered the one sentence which was said by the king of salem , which was like "" Whenever you want something , all universe conspire to help you achieve it""😍 i would suggest everyone those who want to achieve goal but they compromises thier desire for other so for that i must recommend this book. I would like to say one thing about this book like at least everyone should read this book in their life before you die.i would recommended this book from age of 9 years old to adult and even yougesters can read this book.","Reviewed in India on 19 July 2022","This book make me realize my goal.",5,"https://m.media-amazon.com/images/I/71B4af8klPL.jpg","3"
