"id","profileName","text","date","title","rating","images","helpful","Colour"
"R2LYKHFGZWSYDL","Andy"," Used this watch for over a month now.. Bought it during the first sale.. Keep reading for an unbiased review and tips/tricks to ensure all the functions in the watch are working smoothly.1) Large Curved  Display in this price category - 1.69 inch2) Battery with heavy usage and frequently waking up the screen, alexa, alarms, notifications is about 3 days. On standby  while just checking the time occassionally is about 8 days. Pretty good. Full charging time is about 1.5 hours. Decent quality magnetic charging cable provided. Use your own low power adapter, power bank or laptop.3) Has all the necessary health / workout tracking options.. Spo2( Oxymeter), Heart Rate monitor..Accuracy is 95-98%. Sleep tracking is pretty accurate too. Paedometer is accurate most of the times, but sometimes few hundred steps are added randomly without any activity. This happens randomly once in 3-4 days. Stress Monitor is also there but not sure how it's calculated. The sensors aren not fake most probably because if the watch isn't in contact with your skin it will display a warning message and won't display data.4) Lift to wake up gesture works but with a 1 second delay.. which is manageable. It has Tap to wake functionality too.5) Works with most popular notifications: Whatsapp, SMS, Facebook, Instagram etc. Can read the entire SMS on watch and most of the other messages unless it's very long.6) Calls can't be picked up or silenced.. You can only see the caller id and reject the call.7) BT Music Control, Weather ☁️ update and Alexa are other usable smart features.8) 50 different watch face are available on the Boat wave app. Some are really good.. You can also have customised wallpapers as watch faces . See the posted pictures.9) The Boat Wave app is neatly organized and syncs health data without any issues instantly. The app also has assisted GPS functionality which can track your running activities on a map, in case you need that data.10) The User Interface is smooth.. Please note that it's not laggy. The animations and transitions are a little slow but overall easy to use. Touch screen response is excellent and feels nice.11) Overall construction is sturdy and feels nice and comfortable to wear it. It has water resistance of 5 ATM.. Can take it for a short duration swim in a pool, under the shower or rain without any worries. Watch uppper body is brushed aluminium and under body is good quality plastic. The straps are soft and also of very good quality. It doesn't irritate your skin even after wearing it for long durations. Four colour options are available with equally matching straps.. Straps can be easily replaced with fancy straps.12 ) Works both with Android and iPhone flawlessly. Tested on both.TIPs AND TRICKs ________________________________________1) Boat wave app needs to run in the background all the time for your call notifications, message notifications, Alexa functionality and Weather updates. If you accidentally clear all the cache and background apps from the phone, the watch will disconnect from the phone after some time when idle ( no active inputs probably after 10-15 mins). Keep the boat wave app running in the background. Most people complaining that the watch frequently disconnected might unintentionally be clearing all the background apps. My watch was continuously connected for 4 straight days without me having to reconnect as long as the boat wave app was running in the background.2)  Alexa on this watch can do a lot of things..It can set your alarms, start the stopwatch, show weather, control Alexa based devices like Echo, wireless lights and AC, work as a simple calculator, translate simple/ short English sentences to German, Spanish, Italian, French and Portugese, get you common stock quotes from internet, can you snippets of general information from the internet in case you don't know something. Yes, Alexa on your watch getting you the information is a little slow, takes about 30 -40  seconds to process your request but it's convenient and better that taking out the phone from your pocket which might take similar amount of time or longer.  In my personal experience, Alexa works a little faster on Android as compared to iphone ( maybe 2-3 second difference). Also if there is break while speaking or if there is a long sentence, then it's difficult for Alexa to understand.. Check my video.. Keep it short and you should get the results accurately3) For Alexa to work properly: After connecting the Boat Wave app with an Amazon account, download the Alexa app and check your Xtend watch is visible under Devices option.4) To pickup and make calls handsfree without using the phone, just use a Bluetooth headset with voice assistant function. It will work as a charm. The speaker function on most smart watches is useless as it's not convenient for calls while  traveling or in a crowded place due to low volume and obviously you don't want everyone to hear your private conversation.. With voice assistant feature on your BT headset you can make a call or play music without having to touch your phone.Few  other functions which could have been provided and is missing. Actually available in many similarly priced devices :1) Torch 🔦 - Makes the display bright white.. Comes handy in darkness.2) Remote shutter button for camera.3) Call silencing option could have been added.","Reviewed in India on 12 August 2021","Best Budget watch",5,"https://m.media-amazon.com/images/I/D16MmYsiBAS.jpg
https://m.media-amazon.com/images/I/D1CSisESt4S.jpg
https://m.media-amazon.com/images/I/D1uoBCeL7HS.jpg","885","Olive Green"
"R1ZQQKZCCG4KD2","archit","Review OverviewAverage2.7The Boat today launched the ‘ Boat Xtend ‘, the company’s latest budget smartwatch with a price tag of Rs. 2,999. The Boat Xtend Smartwatch comes with a stylish design resembling the Apple watch. Moreover, it has built-in Amazon Alexa support, SpO2 tracking, stress tracking, and much more. Coming in a budget segment, is it worth it? Should you buy this smartwatch? If you too have such queries, then there is nothing to worry about. It is a detailed review of Boat Xtend Smartwatch which will clear all your doubts about it.ContentsBox ContentDesign, Build & ComfortDisplayWatch UI And FeaturesAlexa SupportWatch FacesBoat Wave AppAccuracyBatteryFinal WordsBuy Now:Box ContentBoat Xtend box contentSmartwatch in black&gold colourCharging clipUser Manual and warranty cardDesign, Build & ComfortWhen buying a smartwatch, one always thinks about its design and look. Apart from features, design and build is another major aspect one should take care of when buying a smartwatch. The boat has worked on its design this time which brings it to a premium side in terms of look. The design is inspired by the Apple Watch 3, but it cannot be compared to that. Obviously, in every aspect, Apple Watch 3 would be much better than the Boat Xtend Smartwatch. Redmi Watch as well as Amazfit Bip U Pro has the same shape and design, but the build quality is much premium on this one.Boat Xtend design and buildI personally don’t like the color scheme of this Boat Xtend Smartwatch. The black color variant comes with a golden color metallic frame. I believe the gold color would fade away after some time. There are three other color variants, which also don’t look stylish as this one. However, that is my personal opinion on the color scheme, so maybe you might find the color scheme to be good.Boat Xtend designThe watch has 5ATM water resistance. It has silicon straps, which are quite comfortable. The straps are good quality straps which you will find comfortable with regular usage.DisplayComing to the display, the watch has a 42mm square shape display. What you see on this one is a TFT panel. The screen has big bezels, however, the good part is that the screen goes completely back when it is off, so you won’t notice the bezels, and the screen quality won’t feel cheap at all. It doesn’t have an always-on display, but we cannot complain about that. The watch offers a screen on time of up to 20 seconds and up to 12 levels of brightness control.Boat Xtend display qualityI find the display quality of the Boat Xtend Smartwatch to be better than the previous smartwatch from Boat. View angle is good on this one, and you can clearly see content on this smartwatch even in the sunlight. The color on this one is not very saturated, but this isn’t something that we can complain about in this price range.Watch UI And FeaturesThe UI of this smartwatch is clean and easy to use. There is a single button on the watch which works as the power/off button as well as the back button. Moreover, the display is a touchscreen display that works without any problem. There isn’t much animation on the bar menu, and the navigation is simple, so you won’t find it difficult to use. However, the watch may lag a bit. The company has done cost-cutting in terms of the processor, that’s why you may find it to lag a bit, but it is OK, and not a big deal at the price point you get it.Boat Xtend UiThe watch offers all the basic fitness features such as daily activity (which includes total steps walked, calories burnt, and time), heart rate, sleep tracking, stress tracking breath training, SpO2 training, meditation, find my phone, and music control. Apart from that, there are 14 different support modes on this watch. I tried a few of them, and they worked fine. The watch notifies you of the incoming calls, messages received, and various other notifications in detail.Boat Xtend smartwatch reviewAlexa SupportThe main highlight of the Boat Xtend is the Amazon Alexa Support. The watch has an in-built microphone, and you can access it by long-pressing the back button. Do note that you can only do some basic tasks with Alexa on the watch like setting an alarm, setting a timer, and such. Well, it is a good thing to have Alexa on a watch, but you won’t find it very useful. Probably you will use it for a day or two out of excitement, and then you won’t prefer using it because it only does some basic tasks. So, even if Boat missed this feature, it won’t be a problem.Boat Xtend Alexa supportWatch FacesThe next cool thing about this Boat Smartwatch is the watch faces you get on this one. You get more than 100 watch faces on the watch, and probably more watch faces will be added to it. Moreover, you can also set a custom watch face as well.Boat Xtend watch facesBoat Wave AppYou will have to download the Boat Wave App to use the watch. The app is available for both Android as well as iOS devices. You won’t be seeing bugs on the app, and it works perfectly. I haven’t noticed any problem with connectivity like frequent disconnection. The interface of the Boat Wave is clean and simple. You will get all the fitness-related options and all the watch settings on the app itself.Boat Xtend boat wave appAccuracyAccuracy is one of the important aspects that one should take care of when buying a smartwatch. So talking about the accuracy, I tested everything on this watch, from normal walking to running, sleeping, and much more, and I find the results to be accurate.Boat Xtend accuracy testCompared to Realme or Redmi Watch, the result was the same on all of them. So, there is no problem with the accuracy. I don’t find the results to be accurate on most of the budget fitness trackers, but yes, this smartwatch is accurate in terms of fitness tracking, sleep tracking, and everything it does.Boat Xtend accuracyComparing it to the Noise watch which we tried recently, the stress level as well as the SpO2 tracking is much more accurate on this one. It also has the option to track the menstrual cycle in women.Boat Xtend accuracyBatteryYou get to see a 300mAH battery on this one, which the company claims to last 7 days. However, if you use most of the features of the watch, then the battery will last about two and a half days. If you keep the brightness low, then the battery will last about 3-4 days. I find the battery life to be a downside of the watch. It comes with magnet hook charging support.Final WordsBoat Xtend Smartwatch is a decent smartwatch from the Boat. It offers all the basic fitness features you will find on a budget fitness tracker, a good display, Alexa support, good design and build, and much more. The smartwatch at this price is quite good. Personally, what I didn’t like about this smartwatch is its color scheme. However, if you like the color scheme, then I would recommend you to go for it. Overall the watch is good with nothing to dislike about it except for the battery life. The battery life on this one is quite low. The company claims it to have a battery life of 7 days, but with regular usage, it will last for 2-3 days. If you are looking for a good smartwatch under Rs.5000, and you can adjust with the battery life, and you like the color scheme, then I would recommend you to go for this smartwatch. It offers all the features that should be there in a smartwatch under Rs.5000.","Reviewed in India on 17 May 2022","NOt worth the money",3,"","201","Pitch Black"
"R1OHAWNCB4K26S","Arjun Sen","Pros:1. Premium build quality with matte finishing- sturdy polycarbonate frame, good soft silicone straps that r absolutely flush with the body of the watch. Attractive, trendy colours.2. Heart Rate (except heart rate spikes in weight training), Pedometer(steps counter) are accurate but SPO2 is off by +/- 2% when compared to Pulse Oximeter readings. But most smart watches offer the same accuracy. Sleep tracking is accurate only for bed time & wake up time, duration but stages of sleep are inaccurate. Light, deep sleep, waking detected but no REM sleep detected. Sleep data from the watch synchronises smoothly with Boat Wave app. Issues warning msg if watch not worn on hand properly and does not detect data of surfaces.3. Large (1.69""), clear bright, sharp LCD IPS display even in the sun.4. Touch not smooth, experienced jitters. UI also lags at times & after attaching the tempered glass sometimes some functions require 02-03 taps to work. But acceptable scrolling response if finger moved diagonally instead of vertically.5. In app GPS works superbly. Excellent route tracking on the map. This feature is not advertised in their description.6. Bluetooth 5.0 connectivity is good if mobile is kept in close proximity(7m). The Boat Wave app must remain running in the background at all times.7. Definitely splash proof though did'nt take the risk of submerging the watch.8. All notifications are working, no problem with call alerts or SMS msgs or social media app notifications. No lags at all though there is provision for a 3 sec lag which can be turned on.9. Alexa works superbly but since there is no speaker, info is displayed on the screen. My Wipro Smart Bulb, FireTV stick can be controlled easily using the inbuilt Alexa on the watch. Alexa can do mathematical calculations, currency conversions, even foreign language translations, apart from supplying info on anything under the sun. But ofcourse, Alexa cannot make calls. Alexa can set alarm, timer also.10. Sedentary alert, drinking water reminder, stress alert, menstrual cycle alert, alarms, timers function well.11. Boat Wave app connects easily & no lags observed. Data syncs smoothly with Google Fit app. Excellent health reports and motivational rewards system in the form of badges. But settings can be changed only through the app and the watch needs to be restarted for the new settings to be effective.12. Training, Sports modes r good.13. Guided Breathing mode is also good.14. Find my phone works well.15. Extremely stylish, light weight & comfortable for all day wear.16. 07 watch faces available in the device with 04 preset which cannot be deleted. The rest can be changed from the Boat Wave app.Cons:1. Lacks vibration intensity control.2. Lacks Camera control shutter. But can't figure out its use as my handset accepts both voice commands & gestures to click pics.3. No quick reply messages for notifications/call alerts.4. No call acceptance or silencing feature. A work around can be if bluetooth handset is connected at the same time.5. SPO2 is not accurate and sometimes freezes at 97%. But this is common in all smart watches.6. Battery does'nt last more than 03 days if continuous HR measurement is turned on. Otherwise easily lasts for 7 days.7. Watch faces are very childish. Expected better quality designs. Company can easily improve on this in their next update.8. Amazon Prime only replacement, no refund policy is not good. At least colour change should be allowed once.9. Music control feature does not display the title of the song.10. No BP monitoring or temperature monitoring feature. Smart watches usually do not provide reliable BP data.11. No calling feature. But it does'nt matter as most don't want conversations to be public.12. A bit large for narrow wrists, band @22 mm is a bit wide.13. Company should provide a tempered glass protector. No mention of protective glass on the display mentioned. Have attached a Scot tempered glass purchased separately.14. There are actually only 10 sports modes. Boat has bloated the list with Indoor-Outdoor combi of 4 sports (Walking, Running, Swimming, Cycling).15. There is no light sensor. Auto brightness is only time dependant but works well.Was a wedding anniversary gift for my wife who liked it very much even the colour- the evergreen, classic gold-black. Overall the best smart watch with Alexa built in, available at the budget price point of under Rs 3000. An excellent Fitness Tracker but average Health Monitor.","Reviewed in India on 16 December 2021","Good budget smart watch with Alexa",4,"https://m.media-amazon.com/images/I/51TgRH5KnjL.jpg
https://m.media-amazon.com/images/I/51rbOz0AB0L.jpg","100","Pitch Black"
"R1KXSGYWLAXMUC","HHNr","It's over all a good product. Battery runs 7 days non-stop after fully charged. Notifications work. Screen movement is not fluid don't expect at this price. But its still overpriced because these functions are available with other brands with lower range. I bought for 2999. So depends on you.Works fine even in dusty or heavy rainfall. Belt quality is really sturdy. Screen glass is very good quality, almost many times I hit railings or equipments. I work in such environment. No scratches at all.I'm satisfied with the tracking and sensors. Almost 95% accuracy.I just wish manufacturers give an option of switching off the Bluetooth on the watch when not needed, just a food for thought.","Reviewed in India on 2 October 2022","Good product",4,"https://m.media-amazon.com/images/I/71sWkBBl-KL.jpg","10","Pitch Black"
"R33L0FVT00CT31","Shri","The Product was too good , looks classy too but the payment method which I have done order through Amazon payment. It was the worst experience I have ever had before, I ordered with Amazon pay with coupon dedection with the amount of Rs.100 But after that My amount was debited but the order couldn't placed then I ordered with COD option without any dedection amount... Don't use Amazon pay while ordering... Apart from payment method the product was Too gud I loved it❤️ Must buy","Reviewed in India on 26 September 2022","Worst Payment method",4,"","3","Sandy Cream"
"R3ESQ435YLUZ67","ABC","My wife likes the product but worried of using it while dishwashing and sleep as it looks delicate ...complains of not recording when phone is not with her ...I told her that's all you can get for this price :)","Reviewed in India on 15 October 2022","Value for money",4,"https://m.media-amazon.com/images/I/61Q1-ql94iL.jpg",0,"Pitch Black"
"R2X7R1A9SOGIHB","Vaibbhav kaamble","Its an amazing watch for daily use. Battery life is not that as I expected after every notification is turned on. Very good for tracking all your information but its not useful for swimming purpose, doesn’t count all the strokes.","Reviewed in India on 13 October 2022","Don’t buy for swimming purpose",4,"",0,"Charcoal Black"
"RHWQB9CBFBGAX","Deepesh Bhagat","I do not expect much from it so its good for me. Though found overpriced looking to the features. Using from last 6 days. still 50 % battery left. (depends on usage also). fitness applications working good. thats what I bought it for. Alarms for drinking water / alarms for walking after a fixed intervals while at desk are wonderful. Memory for watch faces is limited to less then 10. everytime you need a new watch face you have to download in mobile app (you have to remove the last one you have installed to down load new). you can not just browse on the watch for watch faces and select the one you want. (only 7-8 faces available at a time). Also default watch faces can not to deleted to have all 7-8 faces of your choice. This is irritating. The whole purpose of wearing a new watch daily is ruined or will take extra efforts.","Reviewed in India on 15 September 2022","Good for starters.",4,"","5","Charcoal Black"
"R3D08NRUFLAFKZ","satyanarayana G","It's coming enable from the app even I have enabled and connected the app too. Solve this issue or tell solutionI have rated 4 only because of this problem","Reviewed in India on 11 October 2022","Not coming whether forecast",4,"https://m.media-amazon.com/images/I/51lHVWqj6cL.jpg",0,"Pitch Black"
"R2Z9403SGVRA78","NITISH KIMAR","Personally I liked it for this price range. I am using last 8 to 10 months work fine. Its connection problem show many times while using alexa.","Reviewed in India on 7 October 2022","At this price this is the best smart watch.",4,"https://m.media-amazon.com/images/I/6106lfp51mL.jpg
https://m.media-amazon.com/images/I/61uzQVt19YL.jpg",0,"Pitch Black"
