"id","profileName","text","date","title","rating","images","helpful"
"R19XL19PWQLSPM","Karan","the meaning of ikigai is well explaimed in this book…and language is very simple..also the secret of long and healthy life is given…very one should read","Reviewed in India on 11 October 2022","interesting book…go for your IKIGAI👍🏻",4,"",0
"RTBVM6X30PWPF","vaibhav Thote","Good print quality, but bookmark should have been given.","Reviewed in India on 16 October 2022","Good book",4,"",1
"R38RCFNM78LH2R","Pankti Shah","The book is nice but it is kinda overrated. Lot of data is given and mostly it is about living a healthy life and doing yoga and all. Some things are also explained through images. It made me feel like a kid. People may like it but it's not upto expectations.","Reviewed in India on 28 September 2022","Overrated",4,"","5"
"R1IJO3ON8SIN55","Ajinkya K.","The delivery was pretty quick.The quality of the book gets a 4/5 from me mainly bcoz the edges were slightly bent not a huge deal but I like things in the best condition.The print is amazing and neat. The font has the the perfect size and style.It's a really pretty book both in terms of looks and content.I'll revisit this review once I'm done reading the book.","Reviewed in India on 15 September 2022","The quality of the book is good. 4/5",4,"https://m.media-amazon.com/images/I/813y+G7eCsL.jpg
https://m.media-amazon.com/images/I/81lJ+-XbGBL.jpg
https://m.media-amazon.com/images/I/91Kx4NlZyCL.jpg","3"
"R2KFU32XTBICA8","Abhishek Patel","Quality of the book is not good. I expect it'll be in good condition but it is written on yellowish paper quality,so it is not good for all the readers, hope this review will be noticed by the authorities.","Reviewed in India on 27 September 2022","Quality of book.",4,"","3"
"R18ZY3ZQSU17F1","Manisha Sharma","Definitely a key to long living is gratefulness, eating good, good sleep, exercise, being active and positive attitude. The author has collected all points in this book leading us to find our ikigai in life. I have found mine and i wish you find yours.","Reviewed in India on 11 October 2022","A must read book for everyone who are stressed in life with the question what are they here for.",5,"",0
"R3TLUR02X91VFF","Sushil Tiku","It is a simple and easy book on living easy & long. The most important component is the need to be engaged in your work throughout your life. “The ten rules of Ikigai” note at the end sums it up.","Reviewed in India on 17 September 2022","subtle, simple & actually usable",4,"","3"
"RCZVQA6Q4BQ0N","Sharon Niharika","First of all the book quality is nice. Didn't notice any missing pages or damage. Coming to actual book! Written perfectly, explained perfectly and the knowledge and motivation u get from it is just perfect","Reviewed in India on 8 October 2022","One of the best books",5,"",0
"R3EPXUWMEONNKJ","Kindle Customer","This book adds values to my life. It contains all the good habits to live a long and happy life. The language is easy to understand. It teaches us to become antifragile, to live in the moment and find the purpose of your life. After reading this book you'll be able to adapt good habits to your day to day life to live a long and happy life.Must read it","Reviewed in India on 23 September 2022","Book review",5,"https://m.media-amazon.com/images/I/8163y09a2gL.jpg",1
"R2OBB977GOICVE","Akshay Kale","The path to find your ikigai is well explained in this bookIt's also give idea & exercise to do daily","Reviewed in India on 17 September 2022","Must read",4,"","3"
"R5IJXPRFZC0ED","Jothi","The package is GoodAnd the book is awesome, Must read by every one !And it's has simple englishIt's very informative alsoThank you","Reviewed in India on 6 October 2022","Impressed 💜",5,"",0
"R3NDQ9U442AVX3","Rishabh","One time read","Reviewed in India on 13 September 2022","Nice",4,"",0
"R8XMXSNUM5M35","Shrobana Sen",,"Reviewed in India on 16 October 2022","Really nice book...loved it! ❤️",5,"https://m.media-amazon.com/images/I/71dDZHAgjeL.jpg",0
"R30H4YR4ZS0R06","Mitsu",,"Reviewed in India on 11 September 2022","Will review after reading it.",4,"https://m.media-amazon.com/images/I/614rP7erjGL.jpg
https://m.media-amazon.com/images/I/71evd6xA60L.jpg
https://m.media-amazon.com/images/I/81uS5u+BAbL.jpg","2"
"R37W9SQES75VMI","Damandeep","Good font size","Reviewed in India on 10 October 2022","Good book with good font size. Looks like orginal",5,"",0
"R2JTP61ROTOTZ4","Shreekanth S.","Peaceful reading","Reviewed in India on 12 October 2022","Loved the book",5,"",0
"R2553872L89ZBC","Madhuri","The quality of the book is great. Must read and motivational.Book contains 194 pages . Best for beginners.","Reviewed in India on 29 September 2022","Good quality",5,"",0
"R1V5LRQ5F7Y2IA","Ragini yadav","Loved the book... hope it brings changes in my life","Reviewed in India on 4 October 2022","Loved the book",5,"https://m.media-amazon.com/images/I/71oT31BPBuL.jpg
https://m.media-amazon.com/images/I/71uF1pVlLAL.jpg",0
